Date,YM-EF,NKD-EF,NQ-EF,GC-EF,JPYUSD-EF,Z-EF,CL-EF,DXY-EF,Open-CD,High-CD,Low-CD,Close-CD,Volume-CD,AD-TI,BBands_Upper-TI,BBands_Middle-TI,BBands_Lower-TI,EMA_12-TI,EMA_26-TI,MACD-TI,MACD_Signal-TI,MACD_Hist-TI,NATR-TI,OBV-TI,RSI-TI,SMA_20-TI,SMA_50-TI,Stoch_K-TI,Stoch_D-TI
2024-06-03,38656.0,38660.0,18646.25,2346.60009765625,157.17999267578125,443.5,74.22000122070312,104.13999938964844,0.6788330078125,0.7044240236282349,0.6705650091171265,0.6713060140609741,3413815,-159618976.3844046,0.7512357226602048,0.7037553042173386,0.6562748857744723,0.6884152513631755,0.6971577612632608,-0.0087425099000852,-0.0059252987400574,-0.0028172111600278,5.823200237061775,-24007556.0,21.34028798578531,0.7037553042173386,0.6980490982532501,12.93195479376917,17.906138377997745
2024-06-04,38787.0,38430.0,18701.0,2325.5,156.0760040283203,442.5,73.25,104.11000061035156,0.6713060140609741,0.684677004814148,0.6510840058326721,0.6758080124855042,2444156,-158465398.86973965,0.7492719338684681,0.7013072043657302,0.6533424748629924,0.6864756761512261,0.6955762983908343,-0.0091006222396082,-0.0065603634399676,-0.0025402587996406,5.457973660895524,-21563400.0,28.11982395851598,0.7013072043657302,0.6971487581729889,22.86845892698693,18.64983608796112
2024-06-05,38884.0,38970.0,19074.25,2354.10009765625,155.12399291992188,439.25,74.06999969482422,104.2699966430664,0.6758080124855042,0.6861609816551208,0.6532049775123596,0.6687589883804321,1821617,-158567544.6317925,0.7501652916827916,0.7002483040094376,0.6503313163360837,0.6837500318787962,0.6935898309826564,-0.0098397991038601,-0.0072162505727461,-0.002623548531114,5.335201321507455,-23385017.0,33.55576978978095,0.7002483040094376,0.6963899183273315,16.348467224763557,17.382960315173218
2024-06-06,38955.0,38635.0,19060.25,2370.300048828125,155.9290008544922,452.0,75.55000305175781,104.0999984741211,0.6687589883804321,0.7004989981651306,0.6586509943008423,0.6820340156555176,2354239,-158290871.00925982,0.7413359911225448,0.6968262046575546,0.6523164181925645,0.6834860293829073,0.6927338446621276,-0.0092478152792203,-0.0076225635140409,-0.0016252517651793,5.155838022480943,-21030778.0,38.63012643692867,0.6968262046575546,0.6963549983501435,28.627197782383316,22.614707978044603
2024-06-07,38857.0,38650.0,19037.75,2305.199951171875,155.69700622558594,448.75,75.52999877929688,104.88999938964844,0.6820300221443176,0.6834650039672852,0.6278520226478577,0.6280040144920349,1914929,-160195332.89606085,0.7441010385323164,0.6919891059398651,0.6398771733474138,0.6749503347843114,0.687939042427306,-0.0129887076429945,-0.0086957923398316,-0.0042929153031628,5.165196213480507,-22945707.0,29.729509588524596,0.6919891059398651,0.6934979987144471,0.1571608974665834,15.044275301537818
2024-06-08,38857.0,38650.0,19037.75,2305.199951171875,155.69700622558594,448.75,75.52999877929688,104.88999938964844,0.6279489994049072,0.6315709948539734,0.599702000617981,0.599702000617981,956385,-161151717.89305988,0.7524944752335471,0.6866203546524048,0.6207462340712625,0.6633736679894914,0.6814029652562449,-0.0180292972667535,-0.010562493325216,-0.0074668039415374,5.436163580191258,-23902092.0,20.821843160821203,0.6866203546524048,0.6908085787296295,0.0,9.594786226616632
2024-06-09,38857.0,38650.0,19037.75,2305.199951171875,155.69700622558594,448.75,75.52999877929688,104.88999938964844,0.5997920036315918,0.6249399781227112,0.5876749753952026,0.621649980545044,1027128,-160305953.01807842,0.7436513179077893,0.6799541532993316,0.616256988690874,0.6569546391518841,0.6769768182406004,-0.0200221790887162,-0.012454430477916,-0.0075677486108001,5.357677053284229,-22874964.0,29.51113884587042,0.6799541532993316,0.6877765381336212,24.819559330470994,8.325573409312526
2024-06-10,38929.0,39185.0,19109.75,2307.699951171875,156.83299255371094,451.75,77.73999786376953,105.1500015258789,0.6216430068016052,0.6227689981460571,0.5746449828147888,0.582194983959198,1367114,-161244103.9633377,0.7451663922677437,0.6724994033575058,0.5998324144472679,0.6454531537376247,0.6699559416271632,-0.0245027878895385,-0.0148641019602405,-0.0096386859292979,5.977427409249377,-24242078.0,20.45930764139688,0.6724994033575058,0.6846944379806519,5.036086489720666,9.951881940063886
2024-06-11,38794.0,38900.0,19242.25,2307.5,157.0399932861328,449.5,77.9000015258789,105.2300033569336,0.5822190046310425,0.585241973400116,0.5490869879722595,0.5572389960289001,1440496,-162035011.26080394,0.7526208228585256,0.6651762545108795,0.5777316861632333,0.6318817448593593,0.6616065382495141,-0.0297247933901547,-0.0178362402462234,-0.0118885531439313,6.252356173860468,-25682574.0,18.984738271329107,0.6651762545108795,0.681142657995224,4.7668091091065685,11.540818309766076
2024-06-12,38752.0,39165.0,19496.5,2336.0,157.10499572753906,454.25,78.5,104.6500015258789,0.557183027267456,0.5821300148963928,0.5419759750366211,0.5753200054168701,1804518,-160842575.372019,0.7521861804620139,0.6585326552391052,0.5648791300161965,0.6231799387912841,0.6552149432248738,-0.0320350044335897,-0.0206759930836966,-0.011359011349893,6.226820029684808,-23878056.0,25.39116208951863,0.6585326552391052,0.6776043379306793,19.111174262786253,9.638023287204495
