Date,Open-CD,High-CD,Low-CD,Close-CD,Volume-CD,AD-TI,BBands_Upper-TI,BBands_Middle-TI,BBands_Lower-TI,EMA_12-TI,EMA_26-TI,MACD-TI,MACD_Signal-TI,MACD_Hist-TI,NATR-TI,OBV-TI,RSI-TI,SMA_20-TI,SMA_50-TI,Stoch_K-TI,Stoch_D-TI
2022-11-03,0.28119200468063354,0.35708001255989075,0.25091901421546936,0.2523829936981201,745955,-94834053.5210026,0.26303967324802785,0.23510939851403237,0.20717912378003686,0.2430670714834089,0.24850357460103323,-0.005436503117624336,-0.01199753800243478,0.006561034884810444,11.43494558769727,4789218.0,61.2836042377988,0.23510939851403237,0.27394695848226547,24.39666939329945,45.93305729922789
2022-11-04,0.25224798917770386,0.29042598605155945,0.25211501121520996,0.28065699338912964,567083,-94556173.79518431,0.27129228055583776,0.2368957981467247,0.20249931573761165,0.2488501363919813,0.25088530932607744,-0.0020351729340961355,-0.010005064988767052,0.007969892054670916,9.828697309546357,5356301.0,65.4084812844277,0.2368957981467247,0.2722022381424904,44.81376022750624,52.28185370568659
2022-11-05,0.28011301159858704,0.2910430133342743,0.2730199992656708,0.273050993680954,342690,-94897685.13625318,0.2762804670849029,0.23834864795207977,0.20041682881925668,0.25257334520566943,0.2525272118708831,4.613333478631354e-05,-0.00799482532405638,0.008040958658842693,10.099028686542907,5013611.0,64.45408645301566,0.23834864795207977,0.27054017812013625,39.32135064188429,36.17726008756333
2022-11-06,0.27309998869895935,0.3090969920158386,0.2647770047187805,0.2803109884262085,552983,-95063031.34099975,0.2829140805537408,0.24086619764566422,0.19881831473758765,0.2568406749319062,0.2545852693934998,0.0022554055384064187,-0.00594477915156382,0.00820018468997024,10.514214274140727,5566594.0,67.2782901282016,0.24086619764566422,0.2690989980101585,44.56390471239517,42.89967186059525
2022-11-07,0.28044599294662476,0.28354400396347046,0.2706199884414673,0.27940499782562256,423296,-94910862.33659212,0.2883743620688026,0.24302524775266648,0.19767613343653034,0.2603121092232472,0.2564237677958792,0.0038883414273679917,-0.003978155035777458,0.00786649646314545,10.594733043440154,5143298.0,68.15811564856513,0.24302524775266648,0.26797479778528216,43.909674939839064,42.59831009803952
2022-11-08,0.27946901321411133,0.3017500042915344,0.2542400062084198,0.25849899649620056,587542,-95393065.00606233,0.2895478754792365,0.24486909732222556,0.20019031916521463,0.2600331688037016,0.25657748844034745,0.003455680363354141,-0.0024913879559511384,0.00594706831930528,12.322733344237562,4555756.0,58.896025867907014,0.24486909732222556,0.2663834378123283,28.46080527784422,38.97812831002616
2022-11-09,0.2583659887313843,0.2587679922580719,0.22025200724601746,0.22168700397014618,312208,-95682009.03025833,0.289517605331153,0.24489409774541854,0.2002705901596841,0.25413375882930844,0.25399300810922143,0.00014075072008701284,-0.0019649602207435085,0.0021057109408305213,14.609013252632334,4243548.0,48.569125015781026,0.24489409774541854,0.2643619179725647,1.0487595136596397,24.473079910447648
2022-11-10,0.22165800631046295,0.235617995262146,0.20739799737930298,0.23218099772930145,341727,-95423521.92798665,0.2895239548444628,0.24485429748892784,0.20018464013339285,0.2507564109677689,0.2523773036366348,-0.001620892668865892,-0.0018961467103679854,0.0002752540415020934,14.475128734281133,4585275.0,51.849043523241384,0.24485429748892784,0.26256365805864335,16.55709959779822,15.355554796434035
2022-11-11,0.23216499388217926,0.23243799805641174,0.2128559947013855,0.21775799989700317,251207,-95548958.54554707,0.2900393975667295,0.24435909762978553,0.19867879769284158,0.24567973234149726,0.24981291076703244,-0.004133178425535178,-0.002343553053401424,-0.001789625372133754,14.889070612671787,4334068.0,44.74696233163092,0.24435909762978553,0.26042037814855573,6.921340882723792,8.175733331393893
2022-11-12,0.21762500703334808,0.22763699293136597,0.20991499722003937,0.22007599472999573,244851,-95513036.38206819,0.2902677903328925,0.24413279742002486,0.1979978045071572,0.24174069578588164,0.24761017624577045,-0.005869480459888804,-0.0030487385346989002,-0.0028207419251899037,14.8617814183812,4578919.0,45.097576621214856,0.24413279742002486,0.25850099831819534,8.469953672742243,10.64946471775476
2022-11-13,0.2199849933385849,0.22057700157165527,0.205485999584198,0.20999500155448914,314895,-95639758.03440697,0.2911502609480811,0.24355179741978644,0.19595333389149178,0.23685674282720587,0.24482386700937925,-0.00796712418217338,-0.0040324156641937964,-0.003934708517979583,15.740476294212366,4264024.0,43.93268925828859,0.24355179741978644,0.256417598426342,2.974393169497886,6.121895908321316
2022-11-14,0.20986700057983398,0.2146030068397522,0.19941399991512299,0.2063329964876175,259087,-95662802.99755421,0.29247649253477404,0.24249259755015373,0.19250870256553346,0.2321607818518846,0.24197269141517466,-0.009811909563290061,-0.00518831444401305,-0.004623595119277011,16.233536352270878,4004937.0,44.21034646348449,0.24249259755015373,0.25438927829265595,4.3883881199527055,5.277578320730954
2022-11-15,0.2065429985523224,0.25123700499534607,0.20570899546146393,0.22855299711227417,263096,-95661878.43000436,0.2924676506907946,0.24253434762358667,0.19260104455637872,0.23160573804579068,0.2409786399853302,-0.009372901939539519,-0.006025231943118344,-0.003347669996421175,15.847902907827283,4268033.0,49.02679626981431,0.24253434762358667,0.2526753181219101,18.481470222959118,8.614750504136579
2022-11-16,0.2282239943742752,0.23868100345134735,0.20838500559329987,0.21515299379825592,247811,-95798969.72770101,0.2928695662419648,0.24208539724349976,0.1913012282450347,0.22907454662309304,0.23906562915665805,-0.00999108253356501,-0.006818402061207677,-0.0031726804723573327,15.848954006072043,4020222.0,33.99968027897354,0.24208539724349976,0.2506591382622719,9.982489954008964,10.950782765640271
